Time,open,high,low,close,volume,change
2004-05-12,802.88,820.72,801.28,817.09,387172595,0.033
2004-05-13,815.28,816.26,790.13,790.13,395038462,-0.033
2004-05-14,798.8,802.32,759.65,768.46,372337636,-0.0274
2004-05-17,766.56,774.39,723.51,728.98,371689736,-0.051399999999999994
2004-05-18,724.68,748.26,716.95,741.99,383581692,0.0178
2004-05-19,752.5,784.14,751.59,777.95,379674293,0.048499999999999995
2004-05-20,766.04,782.92,757.49,767.79,357496137,-0.0131
2004-05-21,780.99,786.36,768.63,786.36,324174482,0.0242
2004-05-24,795.99,802.04,790.73,799.64,302773672,0.0169
2004-05-25,791.38,791.67,776.71,784.06,331745756,-0.0195
2004-05-27,802.4,810.69,797.11,802.46,293069419,0.0235
2004-05-28,811.54,816.64,805.21,816.51,357724331,0.0175
2004-05-31,811.46,811.59,793.77,803.84,288474627,-0.0155
2004-06-01,807.55,817.0,804.31,815.77,315870116,0.0148
2004-06-02,808.84,811.59,797.68,804.39,263379647,-0.013999999999999999
2004-06-03,810.98,812.54,770.06,770.06,465568005,-0.042699999999999995
2004-06-04,772.94,781.96,764.93,780.74,421765728,0.0139
2004-06-07,788.41,809.51,788.41,809.45,390667650,0.0368
2004-06-08,817.11,820.87,804.43,809.31,356049240,-0.0002
2004-06-09,816.93,820.68,794.1,794.53,603579429,-0.0183
2004-06-10,785.83,794.16,776.61,782.3,444564204,-0.0154
2004-06-11,780.16,780.41,748.34,751.53,458723119,-0.0393
2004-06-14,744.25,761.29,737.65,738.79,377975752,-0.017
2004-06-15,747.54,752.54,729.06,752.1,481764896,0.018000000000000002
2004-06-16,756.33,769.66,746.48,752.34,369896642,0.0003
2004-06-17,756.92,760.1,742.47,760.09,361068593,0.0103
2004-06-18,751.69,754.05,732.89,741.73,379819292,-0.0242
2004-06-21,745.22,758.58,743.69,749.3,376088503,0.0102
2004-06-22,744.86,749.26,732.79,746.48,327223452,-0.0038
2004-06-23,753.28,755.88,737.23,738.93,368500062,-0.0101
