ticker_code,company_name,last_update,status
318060,그래피,2026-02-09,EXISTING
025320,시노펙스,2026-02-09,EXISTING
424870,이뮨온시아,2026-02-09,EXISTING
383800,LX홀딩스,2026-02-09,EXISTING
005420,코스모화학,2026-02-09,EXISTING
252990,샘씨엔에스,2026-02-09,EXISTING
478340,나라스페이스테크놀로지,,
278280,천보,2026-02-09,EXISTING
094170,동운아나텍,2026-02-09,EXISTING
376270,HEM파마,2026-02-09,EXISTING
119850,지엔씨에너지,2026-02-09,EXISTING
001570,금양,2026-02-09,EXISTING
336370,솔루스첨단소재,2026-02-09,EXISTING
095660,네오위즈,2026-02-09,EXISTING
044490,태웅,2026-02-09,EXISTING
006380,카프로,2026-02-09,EXISTING
002240,고려제강,2026-02-09,EXISTING
059090,미코,2026-02-09,EXISTING
042520,한스바이오메드,2026-02-09,EXISTING
015750,성우하이텍,2026-02-09,EXISTING
389650,넥스트바이오메디컬,2026-02-09,EXISTING
178920,PI첨단소재,2026-02-09,EXISTING
003545,대신증권우,2026-02-09,EXISTING
036620,감성코퍼레이션,2026-02-09,EXISTING
093320,케이아이엔엑스,2026-02-09,EXISTING
027360,아주IB투자,2026-02-09,EXISTING
006220,제주은행,2026-02-09,EXISTING
093050,LF,2026-02-09,EXISTING
029530,신도리코,2026-02-09,EXISTING
356860,티엘비,2026-02-09,EXISTING
003030,세아제강지주,2026-02-09,EXISTING
090435,아모레퍼시픽우,2026-02-09,EXISTING
002030,아세아,2026-02-09,EXISTING
053610,프로텍,2026-02-09,EXISTING
460930,현대힘스,2026-02-09,EXISTING
079370,제우스,2026-02-09,EXISTING
004690,삼천리,2026-02-09,EXISTING
001500,현대차증권,2026-02-09,EXISTING
377740,바이오노트,2026-02-09,EXISTING
005810,풍산홀딩스,2026-02-09,EXISTING
002960,한국쉘석유,2026-02-09,EXISTING
041960,코미팜,2026-02-09,EXISTING
052020,에스티큐브,2026-02-09,EXISTING
101730,위메이드맥스,2026-02-09,EXISTING
089010,켐트로닉스,2026-02-09,EXISTING
050890,쏠리드,2026-02-09,EXISTING
039440,에스티아이,2026-02-09,EXISTING
228760,지노믹트리,2026-02-09,EXISTING
030520,한글과컴퓨터,2026-02-09,EXISTING
005389,현대차3우B,2026-02-09,EXISTING
016380,KG스틸,2026-02-09,EXISTING
130660,한전산업,2026-02-09,EXISTING
192650,드림텍,2026-02-09,EXISTING
014830,유니드,2026-02-09,EXISTING
016610,DB증권,2026-02-09,EXISTING
104830,원익머트리얼즈,2026-02-09,EXISTING
284740,쿠쿠홈시스,2026-02-09,EXISTING
145720,덴티움,2026-02-09,EXISTING
094800,맵스리얼티,2026-02-09,EXISTING
083450,GST,2026-02-09,EXISTING
200710,에이디테크놀로지,2026-02-09,EXISTING
047920,HLB제약,2026-02-09,EXISTING
117730,티로보틱스,2026-02-09,EXISTING
000400,롯데손해보험,2026-02-09,EXISTING
450950,아스테라시스,2026-02-09,EXISTING
025900,동화기업,2026-02-09,EXISTING
455900,엔젤로보틱스,2026-02-09,EXISTING
215600,신라젠,2026-02-09,EXISTING
368770,파이버프로,2026-02-09,EXISTING
220100,퓨쳐켐,2026-02-09,EXISTING
069080,웹젠,2026-02-09,EXISTING
099190,아이센스,2026-02-09,EXISTING
105840,우진,2026-02-09,EXISTING
